Observer,Site,Genus,Size,Bleached,Dead,Transect,TransectLength
KS,LTER_Exp,Pocillopora,34,0,100,1,20
KS,LTER_Exp,Acropora,47,0,100,1,20
KS,LTER_Exp,Pocillopora,22,0,0,1,20
KS,LTER_Exp,Pocillopora,26,0,0,1,20
KS,LTER_Exp,Pocillopora,48,0,80,1,20
KS,LTER_Exp,Pocillopora,32,0,100,1,20
KS,LTER_Exp,Pocillopora,23,0,100,1,20
KS,LTER_Exp,Pocillopora,23,0,0,1,20
KS,LTER_Exp,Pocillopora,27,20,10,1,20
KS,LTER_Exp,Pocillopora,41,0,100,1,20
KS,LTER_Exp,Pocillopora,50,0,100,1,20
KS,LTER_Exp,Pocillopora,15,0,100,1,20
KS,LTER_Exp,Pocillopora,34,0,100,1,20
KS,LTER_Exp,Pocillopora,15,0,0,1,20
KS,LTER_Exp,Pocillopora,25,0,0,1,20
KS,LTER_Exp,Pocillopora,24,0,0,1,20
KS,LTER_Exp,Pocillopora,36,10,80,1,20
KS,LTER_Exp,Pocillopora,36,0,70,1,20
KS,LTER_Exp,Pocillopora,55,0,100,1,20
KS,LTER_Exp,Pocillopora,50,0,100,1,20
KS,LTER_Exp,Pocillopora,20,0,100,1,20
KS,LTER_Exp,Pocillopora,35,0,100,1,20
KS,LTER_Exp,Pocillopora,34,0,100,1,20
KS,LTER_Exp,Pocillopora,20,0,0,1,20
KS,LTER_Exp,Pocillopora,24,0,0,1,20
KS,LTER_Exp,Pocillopora,34,0,100,1,20
KS,LTER_Exp,Pocillopora,30,0,100,1,20
KS,LTER_Exp,Pocillopora,20,0,0,1,20
KS,LTER_Exp,Pocillopora,25,0,0,1,20
KS,LTER_Exp,Pocillopora,16,0,0,1,20
KS,LTER_Exp,Pocillopora,16,0,100,1,20
KS,LTER_Exp,Pocillopora,19,0,0,1,20
KS,LTER_Exp,Pocillopora,17,0,0,1,20
KS,LTER_Exp,Pocillopora,24,0,0,1,20
KS,LTER_Exp,Pocillopora,30,10,70,1,20
KS,LTER_Exp,Pocillopora,30,0,100,1,20
KS,LTER_Exp,Pocillopora,15,0,0,1,20
KS,LTER_Exp,Pocillopora,12,0,0,1,20
KS,LTER_Exp,Pocillopora,21,0,0,1,20
KS,LTER_Exp,Pocillopora,22,0,0,1,20
KS,LTER_Exp,Pocillopora,22,0,0,1,20
KS,LTER_Exp,Pocillopora,47,40,0,1,20
KS,LTER_Exp,Pocillopora,38,0,100,1,20
KS,LTER_Exp,Pocillopora,30,0,0,1,20
KS,LTER_Exp,Pocillopora,50,25,65,1,20
KS,LTER_Exp,Pocillopora,53,20,50,1,20
KS,LTER_Exp,Pocillopora,15,0,100,1,20
KS,LTER_Exp,Pocillopora,33,0,5,1,20
KS,LTER_Exp,Pocillopora,30,0,100,1,20
KS,LTER_Exp,Pocillopora,42,0,0,1,20
KS,LTER_Exp,Pocillopora,26,0,100,1,20
KS,LTER_Exp,Pocillopora,27,0,10,1,20
KS,LTER_Exp,Pocillopora,23,0,0,1,20
KS,LTER_Exp,Pocillopora,34,0,100,1,20
KS,LTER_Exp,Pocillopora,25,0,10,1,20
KS,LTER_Exp,Pocillopora,22,0,100,1,20
KS,LTER_Exp,Pocillopora,46,0,100,1,20
KS,LTER_Exp,Pocillopora,33,0,100,1,20
KS,LTER_Exp,Pocillopora,10,0,0,1,20
KS,LTER_Exp,Pocillopora,22,0,0,1,20
KS,LTER_Exp,Pocillopora,24,0,0,1,20
KS,LTER_Exp,Pocillopora,16,0,0,1,20
KS,LTER_Exp,Pocillopora,22,0,20,1,20
KS,LTER_Exp,Acropora,24,0,100,1,20
KS,LTER_Exp,Pocillopora,28,0,5,1,20
KS,LTER_Exp,Acropora,20,0,100,1,20
KS,LTER_Exp,Pocillopora,38,0,0,1,20
KS,LTER_Exp,Pocillopora,13,0,0,1,20
KS,LTER_Exp,Pocillopora,23,0,0,1,20
KS,LTER_Exp,Pocillopora,28,0,100,1,20
